Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,FinalScore,EntropyChange
"CTP1-T12: learn, model, optim",0.389700748,0.184041556,0.135832283,0.033443653,0.157744874,0.148550742,0.108008411,0.142161736,0.145391105,0.144648741,0.170730136,0.187606606,0.169654758,0.163263118,0.178633633,0.050152098,0.224146525,0.127242155,0.152639761,0.027957307,0.180156246,0.021638062,0,0.02607077,0.140846453,0.179044279,0.031262384,0.024144697,0.127729028,0.122365801,0.034317567,0,0,0,0.068079976,0,0,0.014729528,0,0.333330339,78.51670185
"CTP1-T13: learn, comput, model",0.46464371,0.214619239,0.157690384,0.03503722,0.184477679,0.170894808,0.127342073,0.16407693,0.168409607,0.167794596,0.198757776,0.217971994,0.197283718,0.188354532,0.207770241,0.059796797,0.262035907,0.149051231,0.177855502,0.029289453,0.209938165,0.0226691,0,0.027313023,0.16432853,0.211161735,0.032752015,0.025295175,0.147407725,0.145897845,0.035952775,0,0,0,0.081172368,0,0,0.01543138,0,0.322098611,16.11930319
"CTP1-T14: learn, model, network",0.385052427,0.199852131,0.150155639,0.051135751,0.169336179,0.170051271,0.112094832,0.160747735,0.162135181,0.160391602,0.186662611,0.206732212,0.186317557,0.184894697,0.196008524,0.049553887,0.240977664,0.135673967,0.166293675,0.042747061,0.196194844,0.033084859,0,0.039862522,0.280041292,0.185563001,0.047800565,0.147108694,0.261189771,0.219054465,0.145846656,0.085209019,0.132965667,0.112785736,0.270574719,0.109114735,0.023561592,0.022521627,0.109123076,0.325485178,224.7729299
"CTP1-T15: learn, model, network",0.508988383,0.236589469,0.174057081,0.039875536,0.203196808,0.189127121,0.139939335,0.181411504,0.186008711,0.185251565,0.219211172,0.240539559,0.217655703,0.208278488,0.22921071,0.065503685,0.28865531,0.16409828,0.196107979,0.033334056,0.231476649,0.025799494,0,0.031084699,0.181124976,0.232029496,0.037274766,0.028788205,0.162984914,0.159822046,0.040917521,0,0,0,0.088919297,0,0,0.017562311,0,0.228918587,31.48046391
"CTP1-T16: model, simul, network",0.451933758,0.174830197,0.123343343,0,0.154052016,0.122380852,0.113734113,0.121383252,0.12899456,0.130299083,0.159472081,0.171766471,0.156686764,0.138785541,0.165343292,0.058161104,0.218126218,0.126231671,0.143840268,0,0.169934933,0,0,0,0.134446916,0.189083013,0,0,0.108967069,0.141906928,0,0,0,0,0.078951963,0,0,0,0,0.30461364,103.4677067
"CTP1-T17: learn, model, term",0.647168356,0.270797356,0.194727126,0.020537541,0.235897092,0.201668837,0.168968639,0.196845086,0.205697179,0.206418588,0.248762694,0.270221717,0.245588653,0.225508315,0.25891476,0.0832866,0.334498822,0.192058603,0.223546303,0.01716841,0.263993594,0.0132878,0,0.016009899,0.20782691,0.280591261,0.019198038,0.01482711,0.176776847,0.203210475,0.021074207,0,0,0,0.113059074,0,0,0.009045312,0,0.240449452,54.41755233
"CTP1-T18: model, comput, improv",0.648757343,0.297251136,0.218040457,0.04649889,0.255772867,0.235496026,0.177081497,0.226376936,0.232667832,0.231944335,0.275109553,0.301482955,0.272955358,0.259833078,0.287487474,0.083491093,0.363255859,0.206780442,0.246258718,0.038870866,0.290690879,0.030084808,0,0.03624789,0.227639175,0.293675421,0.043466131,0.033569946,0.203372437,0.203709416,0.04771395,0,0,0,0.113336668,0,0,0.020479423,0,0.228392374,128.2466759
"CTP1-T19: secur, comput, cryptographi",0.334284501,0.245876692,0.194443279,0.117110558,0.201164022,0.24117419,0.118919268,0.221076011,0.21503174,0.209458065,0.234277935,0.265345364,0.23686236,0.255292688,0.248568347,0.043020366,0.287604922,0.157778036,0.31511176,0.097898871,0.351999826,0.075770596,0,0.091292729,0.402597869,0.195883305,0.10947235,0.175916698,0.295624368,0.186347903,0.197595392,0.070653803,0.110252766,0.093519927,0.226977243,0.090475998,0.019536853,0.051578793,0.090482914,0.361621944,12.29693577
"CTP1-T20: protocol, technolog, analysi",0.294675495,0.300345649,0.245431284,0.187232474,0.239884106,0.320653749,0.129784052,0.289050712,0.275349253,0.265746149,0.289949987,0.333096935,0.295559592,0.334522646,0.30968213,0.03792293,0.344089227,0.185279747,0.343248769,0.156517465,0.388360788,0.121139514,0,0.145955786,0.317870853,0.212856239,0.17502076,0.135172773,0.260093579,0.092527928,0.192125036,0,0,0,0.051479246,0,0,0.082462463,0,0.274849158,28.57169799
"CTP1-T21: cryptographi, technolog, comput",0.384693919,0.252748416,0.197018524,0.104421681,0.208897475,0.238501666,0.12783556,0.220389891,0.216459488,0.211739776,0.239462456,0.269520394,0.241232955,0.254234967,0.253329932,0.049507749,0.298254614,0.164879594,0.35577499,0.087291571,0.393678987,0.067560885,0,0.081401202,0.412948941,0.210903844,0.097611069,0.139742683,0.266353738,0.178115481,0.161684226,0.049764891,0.077656356,0.065870608,0.1859432,0.063726622,0.013760751,0.045990254,0.063731493,0.349405589,42.38770986
"CTP1-T22: key, secur, classic",0.247110064,0.298888557,0.247452522,0.204256204,0.236348376,0.329672798,0.122871341,0.295360458,0.279160908,0.268470023,0.290074613,0.335121771,0.296652538,0.342103577,0.310634851,0.031801551,0.339485789,0.181356603,0.333870118,0.170748496,0.37878655,0.132153876,0,0.159226518,0.474108236,0.201099286,0.190934165,0.291602644,0.418490941,0.205978786,0.331735764,0.111460763,0.173930586,0.147533493,0.309112519,0.142731506,0.030820599,0.089960194,0.142742416,0.294580879,19.29131115
"CTP1-T23: key, qkd, transmiss",0.275557676,0.330694878,0.273635489,0.22515602,0.261610068,0.364261938,0.136239714,0.326431723,0.308627878,0.296852215,0.320871592,0.37061409,0.328103086,0.378079463,0.343576676,0.035462584,0.375749096,0.200796746,0.298207241,0.188219751,0.34788606,0.145676069,0,0.175518826,0.340877713,0.222999406,0.210470849,0.225672983,0.360634601,0.142747594,0.284527755,0.048810627,0.07616726,0.064607509,0.164600453,0.062504635,0.013496882,0.099165062,0.062509412,0.334722284,25.44893132
"CTP1-T24: key, qkd, low",0.26120373,0.23643047,0.191166751,0.136024649,0.190338606,0.24571562,0.106146957,0.222651954,0.21349143,0.206650779,0.227276669,0.25990488,0.231061639,0.257501853,0.242224269,0.033615319,0.272724567,0.147767732,0.271432621,0.113710153,0.306928978,0.088008023,0,0.106037079,0.420448773,0.174355385,0.127152822,0.24378905,0.354529523,0.211692405,0.262946817,0.112579149,0.175675788,0.149013829,0.314243101,0.14416366,0.03112985,0.059909092,0.144174679,0.344817573,341.3486491
