Cluster3Words,Doc:1 SubA:1,Doc:2 SubA:2,Doc:3 SubA:2,Doc:4 SubA:2,Doc:5 SubA:1,Doc:6 SubA:1,Doc:7 SubA:3,Doc:8 SubA:1,Doc:9 SubA:3,Doc:10 SubA:1,Doc:11 SubA:1,Doc:12 SubA:1,Doc:13 SubA:1,Doc:14 SubA:1,Doc:15 SubA:1,Doc:16 SubA:2,Doc:17 SubA:2,Doc:18 SubA:2,Doc:19 SubA:1,Doc:20 SubA:1,Doc:21 SubA:3,Doc:22 SubA:3,Doc:23 SubA:1,Doc:24 SubA:1,Doc:25 SubA:3,Doc:26 SubA:3,Doc:27 SubA:1,Doc:28 SubA:2,Doc:29 SubA:1,Doc:30 SubA:2,Doc:31 SubA:3,Doc:32 SubA:1,Doc:33 SubA:2,Doc:34 SubA:1,Doc:35 SubA:1
"T19: secur, comput, cryptographi",0.358737885,0.097692509,0.426038916,0.212332517,0.183619907,0.136755541,0.038074311,0.470155212,0.144625713,0.360135427,0.176295414,0.057025854,0.112068442,0.271481419,0.192333257,0.119786937,0.165153721,0.158980129,0.160184076,0.068822833,0,0.034717761,0.06069559,0.068822833,0,0.034717761,0.06069559,0.323910611,0.147653642,0.11096946,0.009669263,0.424617226,0.264035077,0.124158952,0.262968202
"T20: protocol, technolog, analysi",0.18916973,0.123785205,0.22145281,0.118369945,0.069548716,0.308683574,0,0.191828744,0.134944892,0.201708588,0.088926907,0.059348284,0.052483001,0.452127359,0.322282062,0.109608607,0.183616486,0.019785636,0.213333514,0.010456963,0,0.003126292,0.108163903,0.010456963,0,0.003126292,0.108163903,0.281050548,0.042990889,0.040477027,0.011263742,0.383289069,0.171159964,0.165478303,0.236202808
"T21: cryptographi, technolog, comput",0.329803523,0.128769758,0.388312921,0.199885359,0.145672798,0.148033412,0.032221064,0.404497589,0.196680821,0.319411733,0.164536212,0.048573372,0.113548099,0.187092035,0.1801624,0.114851561,0.163026804,0.164395957,0.162819662,0.087631639,0,0.036426635,0.031625239,0.087631639,0,0.036426635,0.031625239,0.346845187,0.230349249,0.107589366,0.015702885,0.441007265,0.233759218,0.130628299,0.274245518
"T22: key, secur, classic",0.449464934,0.134304922,0.391598986,0.206839879,0.323324243,0.317302588,0.156190792,0.519358268,0.072786931,0.3819602,0.143217252,0.097176946,0.151643112,0.09292119,0.092828049,0.299718505,0.253748032,0.056313805,0.106343985,0.023175393,0,0.013424755,0.009324378,0.023175393,0,0.013424755,0.009324378,0.478284658,0.039834477,0.08515097,0.002224104,0.421702805,0.344568492,0.125184246,0.272478233
"T23: key, qkd, transmiss",0.428370293,0.110815293,0.378438525,0.207894921,0.281413489,0.239005234,0.19295902,0.569990135,0.04051706,0.370494062,0.152664231,0.099093211,0.15329101,0.08683048,0.0760062,0.306943638,0.306189436,0.05666834,0.094763769,0.022380824,0,0.020594228,0.016528771,0.022380824,0,0.020594228,0.016528771,0.441939386,0.052866096,0.079902274,0.004701656,0.398856469,0.379717155,0.154071018,0.25159329
"T24: key, qkd, low",0.398572571,0.136962109,0.388702954,0.218466769,0.333521771,0.170059434,0.117967857,0.517525198,0.069343072,0.423749821,0.182120231,0.098378965,0.153872664,0.06399866,0.082817138,0.319140683,0.302022196,0.069978095,0.079345766,0.016097328,0,0.02968343,0.005730981,0.016097328,0,0.02968343,0.005730981,0.471616329,0.05704971,0.09001763,0.013061996,0.424511111,0.361734372,0.135881813,0.263072627
"T25: scheme, channel, transmiss",0.243849871,0.063428899,0.361421955,0.173467132,0.291158605,0.112147704,0.217498278,0.559475561,0.059515463,0.357100234,0.148879525,0.047532422,0.174354248,0.157476436,0.097948278,0.270578114,0.208111571,0.071349129,0.033478089,0.042228998,0,0.008638905,0.041413366,0.042228998,0,0.008638905,0.041413366,0.464959108,0.201064678,0.059581104,0.052808143,0.422783735,0.279273595,0.209923674,0.176971399
"T26: transmiss, feasibl, differ",0.131494255,0.049892573,0.26296497,0.104342189,0.105111535,0.229656743,0.39502841,0.500357167,0.082685012,0.101428881,0.056468072,0.014550949,0.057599809,0.089735893,0.137120643,0,0.122803148,0.029366961,0.161850011,0,0,0.021729185,0,0,0,0.021729185,0,0.317224816,0.282456227,0.044804736,0.048281384,0.305100475,0.204288039,0.1751018,0.198457631
"T27: scheme, transmiss, key",0.430252059,0.111670021,0.377887955,0.20260169,0.262088156,0.258525598,0.311366584,0.595835404,0.092775799,0.355858579,0.200445348,0.067650317,0.115068407,0.049154857,0.126222409,0.202538504,0.22183239,0.076280881,0.128010339,0.033318746,0,0.039802956,0,0.033318746,0,0.039802956,0,0.364455369,0.103037943,0.106354692,0.010809744,0.410016288,0.272461501,0.092318175,0.259100408
"T28: transmiss, key, scheme",0.431600176,0.12397166,0.33947199,0.177997521,0.28294743,0.357468516,0.221105249,0.537098023,0.088236039,0.364576619,0.155122155,0.075613864,0.135448847,0.096956881,0.130271666,0.276573009,0.228100153,0.044794131,0.138429683,0.018353513,0,0.026448697,0.005089361,0.018353513,0,0.026448697,0.005089361,0.394008995,0.058729241,0.086951315,0.003558044,0.477592,0.307226906,0.10342989,0.265610881
