Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39
"CTP1-T13: learn, comput, model",0.342388593,0.013995193,0.181967682,0.13406365,0.175776963,0.219887365,0.293522627,0.356692036,0.259693611,0.248598099,0.262489283,0.105006664,0.254745006,0.114714652,0.086336948,0.158068273,0.423509923,0.206224997,0.214842985,0.142189604,0.291156593,0.060815959,0,0.120974088,0.181299935,0.316702571,0.123126503,0.148615159,0.239739872,0.187878238,0.150449488,0,0,0,0.110357054,0,0,0.078079881,0
"CTP1-T14: learn, model, network",0.331347912,0.018285519,0.290300516,0.22388469,0.228488205,0.341376734,0.388184121,0.465842458,0.352260765,0.290465343,0.298019654,0.136014232,0.327096215,0.152576578,0.110010423,0.152971195,0.525639411,0.20153954,0.329694636,0.237454938,0.317476965,0.101561923,0,0.20202528,0.299347579,0.383518987,0.205619786,0.27405737,0.361886056,0.183277597,0.277671224,0.004488524,0.028597023,0.028830912,0.18015923,0.031815371,0.054376597,0.130392467,0.003953656
"CTP1-T15: learn, model, network",0.190722383,0.01789184,0.344522601,0.275133292,0.222217466,0.396262133,0.38521236,0.455587491,0.359586385,0.244691787,0.239890708,0.131724589,0.313445504,0.152393386,0.104427019,0.088049539,0.482445825,0.11905737,0.378972609,0.291809854,0.238217398,0.124810081,0,0.248270126,0.293347577,0.34042711,0.252687437,0.304996754,0.355904899,0.104654728,0.308761272,0,0,0,0.061472726,0,0,0.160240115,0
"CTP1-T16: model, simul, network",0.011650878,0.000246467,0.000658209,0,0.003152485,0.00125177,0.00494239,0.006291136,0.003945593,0.006042141,0.006800194,0.001906576,0.00476454,0.00188961,0.00165584,0.005378784,0.008800638,0.006922278,0.001409645,0,0.008177188,0,0,0,0.00179166,0.007044234,0,0,0.003097433,0.006393164,0,0,0,0,0.003755255,0,0,0,0
"CTP1-T17: learn, model, term",0.319497133,0.01895127,0.311703392,0.2420806,0.236565035,0.364955056,0.403282207,0.482762737,0.367757126,0.293960891,0.299605944,0.14072245,0.337821453,0.158687349,0.113439807,0.147500124,0.539066582,0.194878182,0.351798015,0.25675375,0.316061219,0.109816224,0,0.218444597,0.281432999,0.391241813,0.222331242,0.268356463,0.353475411,0.17531705,0.271668737,0,0,0,0.102978788,0,0,0.140989929,0
"CTP1-T18: model, comput, improv",0.189486174,0.021029078,0.420642153,0.337941899,0.260831004,0.481911912,0.454156341,0.535413683,0.426511116,0.27733071,0.268520369,0.15446814,0.36668973,0.1799205,0.121902559,0.087478827,0.558759161,0.119633501,0.460068736,0.358425457,0.261173187,0.153302261,0,0.304946294,0.353428743,0.391069789,0.310372008,0.374622719,0.425248744,0.103976386,0.379246618,0,0,0,0.061074277,0,0,0.196820415,0
"CTP1-T19: secur, comput, cryptographi",0.038086684,0.012199321,0.276564106,0.226218659,0.150585144,0.313056443,0.266361955,0.310481051,0.255449736,0.139616868,0.12794442,0.088876975,0.209166563,0.106044057,0.068987631,0.017583227,0.306991329,0.027349367,0.359656051,0.239930375,0.187843539,0.102620693,0,0.204131367,0.258042487,0.208120049,0.207763346,0.266237021,0.276274668,0.021770529,0.269661337,0.002682893,0.01709309,0.017232891,0.056125307,0.01901677,0.032502126,0.131751791,0.00236319
"CTP1-T20: protocol, technolog, analysi",0.132587675,0.003872155,0.033197298,0.021192069,0.0490168,0.04318887,0.079683813,0.098752645,0.067623217,0.079988832,0.087289909,0.029439036,0.072356293,0.030859363,0.024799204,0.061210873,0.126215507,0.079218146,0.441538042,0.022476576,0.581334445,0.009613463,0,0.01912294,0.136701795,0.097503184,0.019463183,0.023492294,0.058756964,0.072754581,0.023782255,0,0,0,0.042735025,0,0,0.012342452,0
"CTP1-T21: cryptographi, technolog, comput",0.353087527,0.018057459,0.274959663,0.21022561,0.225900405,0.325057169,0.382298835,0.460076134,0.344977666,0.294502044,0.30432523,0.134581685,0.324297428,0.150072476,0.109261449,0.163007579,0.525261659,0.214170942,0.433374865,0.222967944,0.470773621,0.095365687,0,0.18969983,0.312135892,0.385487089,0.193075037,0.254235159,0.347910605,0.194943019,0.257562521,0.003676492,0.023423451,0.023615026,0.173894328,0.026059558,0.044539166,0.122437295,0.003238388
"CTP1-T22: key, secur, classic",0.114565422,0.012741334,0.254973299,0.204857936,0.158032769,0.292099315,0.275179144,0.32440206,0.258446452,0.167960433,0.162600167,0.093588422,0.222162092,0.109017895,0.073853852,0.052890659,0.338489362,0.072342883,0.57256383,0.217274921,0.512436221,0.092930722,0,0.184856239,0.362970535,0.236882461,0.188145268,0.287205059,0.316821563,0.066252114,0.291287189,0.010428785,0.066443268,0.066986694,0.207374986,0.073920886,0.126340384,0.119311113,0.009186055
